_date_,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,exp12
1995-01-01,5065287.362,,,2962.878,18261.007,30299.0,,,,43.49076,8581366.01995187,
1995-02-01,5625751.133,,,2873.87,19502.294,28024.0,,,,43.88784,9535997.540981939,
1995-03-01,6555991.556,,,3650.007,22124.574,32894.0,,,,43.69789,10673575.6141742,
1995-04-01,5628182.383,,,4573.721,19504.515,38988.0,,,,45.15942,9031622.849205688,
1995-05-01,5783096.492,,,5117.085,20737.614,44153.0,,,,43.5087,9424005.30611181,
1995-06-01,5939325.953,,,5611.958,19520.897,45197.0,,,,44.28485,9811357.30522227,
1995-07-01,5187187.66,,,6462.531,20859.796,50406.0,,,,43.91768,8470425.37886948,
1995-08-01,4146132.776,,,6385.128,16551.623,49353.0,,,,43.88889,6920871.44052362,
1995-09-01,5982605.454,,,6139.799,20079.467,46994.0,,,,43.97575,9579906.761391021,
1995-10-01,6313032.148,,,5280.906,23033.34,44785.0,,,,44.11603,10131641.7377135,
1995-11-01,6639992.163,,,3227.95,24760.371,30636.0,,,,43.96479,10650954.3192704,
1995-12-01,5787540.088,,,3184.404,26278.171,33256.0,,,,44.23944,9427352.19053324,
1996-01-01,5768466.734,,,3179.412,21149.042,32143.0,,,,43.98826,9652418.45691572,65.4197
1996-02-01,5978798.703,,,3255.735,22757.976,31133.0,,,,44.19994,9688873.72361772,63.8825
1996-03-01,6347973.658,,,4216.763,25922.59,36203.0,,,,44.45252,10572769.4288254,63.641
1996-04-01,6593734.509,,,4478.971,20959.884,39332.0,,,,44.39456,10785109.2803959,64.092
1996-05-01,6996315.357,,,5233.378,21090.803,44904.0,,,,44.13837,11340127.9048722,64.9189
1996-06-01,6615428.648,,,5666.46,21570.192,46248.0,,,,44.81355,10507915.9817293,65.5657
1996-07-01,6524620.383,,,6269.696,19776.49,49883.0,,,,45.30948,10675382.3881349,65.8379
1996-08-01,4533083.553,,,6756.61,18507.858,51480.0,,,,44.67566,7413047.645495819,64.4717
1996-09-01,6254921.64,,,6209.674,22005.735,48037.0,,,,46.01852,10222447.2125502,67.8801
1996-10-01,7794754.21,,,5410.295,25167.499,45040.0,,,,46.46011,12382398.3131437,66.8356
1996-11-01,7289449.882,,,3599.049,30613.779,35285.0,,,,46.76031,11479131.8022275,66.8711
1996-12-01,7019375.518,,,3309.139,27987.333,34433.0,,,,47.14779,11025216.0780947,69.6205
1997-01-01,6487378.487,,,3379.683,23738.94,34775.0,2926.24,1496.950993,,47.02671,10346190.49774,69.039
1997-02-01,6486542.413,,,3271.041,27440.874,32478.0,3152.62,1653.843029,,46.87733,9939905.52486547,69.1546
1997-03-01,7764232.526,,,4577.74,26925.224,39613.0,4213.7,2403.157624,,48.94653,12304177.7809646,72.27
1997-04-01,8156289.189,,,4599.7,15866.921,40418.0,4493.09,2548.224067,,48.22836,12715994.2017985,71.3271
1997-05-01,7804660.554,,,5876.02,24275.883,48510.0,5541.46,3732.701746,,49.28446,12153378.6688752,71.19
1997-06-01,7713994.2,,,6049.11,23376.114,48701.0,5336.1,3532.967696,,49.50431,12175640.2974154,73.1139
1997-07-01,7629072.145,,,6819.013,24678.232,52676.0,7791.49,5303.964366,,50.44824,12337858.2909024,72.0807
1997-08-01,5345816.108,,,7604.936,20177.493,56242.0,8879.22,5563.449852,,50.64925,8475908.05305924,73.7936
1997-09-01,8143081.617,,,6570.219,24163.022,50629.0,5586.38,3821.726515,,51.23286,12630498.0973739,73.5662
1997-10-01,9562671.126,,,5992.377,27020.643,48722.0,4758.94,3115.594628,,51.56342,14945526.9803232,76.529
1997-11-01,8476063.13,,,3978.274,31036.938,37371.0,3301.93,1933.073491,,51.81247,13143098.2074399,75.739
1997-12-01,7934299.574,,,3504.047,27076.349,36281.0,3719.72,2018.534443,,51.71195,12365016.4400849,74.6322
1998-01-01,7289408.015,,,3755.607,24186.59,37860.0,3436.12,1710.868946,,52.42789,11377983.9901076,76.7759
1998-02-01,7981584.178,,,3733.054,25631.323,35238.0,3541.77,1887.96453,,52.82526,12549035.1014193,78.1088
1998-03-01,8880855.27,,,4707.689,29764.937,41012.0,4067.72,2354.415369,,52.50254,13818311.5520966,76.714
1998-04-01,8581827.708,,,5468.95,25961.995,46854.0,5356.41,3297.400816,,53.71628,13286204.342978,80.0604
1998-05-01,8818384.329,,,6555.319,25811.804,53931.0,6319.42,4311.544522,,54.01383,13669875.4567959,78.4877
1998-06-01,8998610.015,,,6665.59,26204.483,52811.0,5989.59,3952.627586,,53.59432,14070924.8355107,77.5814
1998-07-01,8585960.526,,,7448.998,26537.293,57270.0,8580.76,5760.159581,,54.26988,13314815.7234415,80.0088
1998-08-01,5786431.815,,,8225.299,22093.251,60084.0,10358.36,6057.777031,,54.13241,9282735.36336831,80.3948
1998-09-01,7889082.23,,,7351.687,25616.543,54442.0,6352.05,4321.74725,,53.29403,12265469.16888,78.3209
1998-10-01,8877642.812,,,6824.536,28803.913,54035.0,5719.92,3742.683218,,53.47119,13919020.7108492,79.7553
1998-11-01,8203731.48,,,4393.305,29468.568,41322.0,3801.74,2221.560812,,53.62293,13194169.1713696,80.268
1998-12-01,8008904.355,,,3925.38,31075.198,40787.0,4225.65,2282.430105,,53.68299,12641121.5869055,78.874
1999-01-01,6823582.795,6390.21,,4170.512,27689.491,42165.0,3688.04,1894.088312,,53.42933,10966631.7410957,75.7892
1999-02-01,7784832.642,6931.021,,4158.515,27499.165,39608.0,3781.58,2087.432069,,53.31956,12899178.104433,77.0282
1999-03-01,9522040.839,8364.216,,5289.342,29954.409,46051.0,4551.09,2739.169959,,54.58895,14932322.6657903,78.9431
1999-04-01,8124610.021,10350.825,,5757.159,25125.763,50034.0,5588.64,3328.166018,,52.96156,12644114.3746521,69.4975
1999-05-01,8896839.41,15682.588,,7170.358,26276.28,60317.0,6559.31,4499.923791,,55.57055,14361611.4085416,74.1052
1999-06-01,9569830.208,17374.616,,7386.235,24678.717,59250.0,6253.23,4277.921426,,55.06771,15314779.7004145,74.6015
1999-07-01,8776899.925,19047.406,,8380.458,26208.139,65805.0,9387.62,6476.699794,,56.50685,13635044.0831013,76.9207
1999-08-01,5979289.922,19900.96,,8722.233,21564.165,66380.0,10363.33,6468.979103,,56.06777,10007312.8747666,75.3397
1999-09-01,8669396.055,18080.183,,8021.451,27675.667,62333.0,6714.46,4617.066425,,56.319,13262983.882422,77.3043
1999-10-01,10108422.415,14603.554,,7743.152,33019.849,63023.0,6367.3,4326.608675,,58.52664,15620521.232058,77.3821
1999-11-01,9877578.715,6993.927,,4751.17,31976.132,47021.0,4152.37,2424.622205,,58.02204,15183485.6247906,78.5396
1999-12-01,9209845.185,5316.489,,4002.43,36069.571,45632.0,4298.63,2293.378697,,57.85523,14324557.2556304,79.5347
2000-01-01,8262815.248,5714.85,,4177.863,29130.052,46107.0,3705.36,1984.485917,,57.17295,12831836.3939364,81.6735
2000-02-01,9540218.837,6678.1,,4389.671,30385.077,44746.0,3983.35,2223.212062,,57.96303,14932635.2777461,82.6922
2000-03-01,10946443.401,8804.962,,5657.793,32463.077,51167.0,4762.79,2907.259265,,58.61729,16795803.2405855,82.4128
2000-04-01,9369171.318,10561.863,,6859.624,27515.61,59708.0,6522.64,4246.582351,,60.38649,14202654.7334257,83.9745
2000-05-01,10788914.532,14675.17,,7348.429,28189.041,65369.0,6196.73,4135.223769,,59.09819,16179879.2831673,86.535
2000-06-01,11398790.989,16836.78,,7971.315,28099.936,66449.0,6716.39,4644.444935,,60.37414,17089322.0604484,85.685
2000-07-01,10148286.974,18686.936,,9164.008,28975.43,73107.0,9442.48,6262.816319,,59.8844,15225290.5012593,85.9293
2000-08-01,7703899.426,18770.622,,9229.392,24331.077,71797.0,10267.86,5863.595581,,59.03753,11552189.3203934,87.0573
2000-09-01,10155198.451,17406.901,,8848.522,29323.626,69826.0,7515.89,5077.955254,,61.13742,14721413.2892356,87.3096
2000-10-01,11957232.491,13576.793,,7998.806,34143.57,67357.0,6299.54,4153.542441,,61.14812,17151348.5177423,86.2885
2000-11-01,12205639.046,6657.268,,4980.921,32675.494,50735.0,4233.76,2473.465679,,61.50698,17426917.4687371,88.4914
2000-12-01,10622928.328,5391.36,,4555.122,32664.476,49161.0,4573.96,2416.612251,,61.68085,15103311.754644,89.4097
2001-01-01,9896478.28,5761.463,4702084.0,4506.835,28578.725,48892.0,3986.61,2204.656834,,61.21757,14678006.0497011,88.42
2001-02-01,10960088.468,6884.292,4786682.0,4729.838,29832.219,46718.0,4129.12,2371.238959,,61.35479,16407715.3981242,89.4741
2001-03-01,11999288.838,8602.828,5112135.0,6095.803,33211.179,55101.0,4834.63,2996.611758,,61.50555,17936353.8311227,88.4777
2001-04-01,10633132.707,10211.964,5141484.0,7055.132,27541.242,61245.0,6547.6,4270.548193,,62.09654,15849628.4969301,86.6649
2001-05-01,11799942.546,14771.434,5925087.0,7641.294,27033.29,66945.0,6420.39,4417.69428,,61.23142,17251612.968797,86.3431
2001-06-01,11472853.49,16450.18,7167942.0,8522.716,25943.736,68939.0,6950.97,4955.77394,,62.19749,17000751.6551863,88.5765
2001-07-01,10432107.035,19011.751,9211638.0,9408.694,26894.286,73645.0,9494.56,6542.891118,,61.19015,15208458.9161283,85.4185
2001-08-01,8296562.523,19130.357,9198319.0,9617.353,23239.894,73825.0,10709.0,6605.754568,,61.24127,12241586.2306507,88.0522
2001-09-01,10202751.653,17623.937,7627410.0,9056.454,26492.627,71185.0,7326.45,5181.566686,,61.9053,15416755.8952719,87.0717
2001-10-01,11827688.512,13262.332,6378825.0,7488.843,31434.892,65698.0,6052.44,4034.809964,,60.83685,17817775.1763259,84.8851
2001-11-01,11496311.076,6441.212,4659887.0,4826.583,29289.699,48938.0,4110.18,2444.707875,,60.07102,17100272.3523512,81.5306
2001-12-01,9654751.875,5268.853,4390564.0,4384.725,29683.715,46558.0,4646.47,2532.729698,,61.02006,13986055.8304514,89.1258
2002-01-01,10139249.189,5635.583,4525351.0,4344.588,27221.091,46829.0,3984.37,2181.4798,,60.61555,15076270.1795315,87.5838
2002-02-01,10802236.006,6623.53,4444468.0,4738.612,27647.067,45828.0,4460.47,2556.15114,,61.70338,16057250.768438,87.2981
2002-03-01,11061086.26,8579.091,5090208.0,6400.749,28952.019,55879.0,5676.25,3543.083852,,63.62363,16157063.1147049,86.9496
2002-04-01,11409607.19,9254.63,4303521.0,6331.378,27644.463,57931.0,5955.37,3690.417959,,61.12906,17145654.7640093,88.9387
2002-05-01,11151094.867,13641.013,5358190.0,7448.231,28391.834,66226.0,6719.82,4526.57992,,61.67031,16738525.3083508,85.7851
2002-06-01,10700374.711,15372.858,6391086.0,8311.238,26930.442,67818.0,7123.33,5029.439751,,62.5607,16289444.4088212,87.3775
2002-07-01,11159616.601,17785.73,8645515.0,9124.595,29171.854,72914.0,9666.81,6600.905414,,62.79134,16677063.1959378,87.0705
2002-08-01,8777346.495,18540.317,9080853.0,9818.978,24017.697,74954.0,11933.4,7473.708011,,64.4629,13146106.3204067,86.3141
2002-09-01,10520776.559,16474.733,6830970.0,8827.343,28569.312,70173.0,7384.94,5099.817436,,63.5421,15846899.7659613,86.7379
2002-10-01,12610290.366,12732.147,6029699.0,7878.511,32666.374,67108.0,6563.92,4339.887953,,64.37072,18886826.2153112,89.3756
2002-11-01,11863885.112,6075.182,4284267.0,5211.027,30704.808,53229.0,4591.44,2651.260889,,63.75253,17779683.3113315,87.3542
2002-12-01,10618543.645,5121.58,4210304.0,4749.536,31767.863,51882.0,4873.69,2616.771257,,64.26114,16105368.0122594,87.5118
2003-01-01,10319937.166,5612.594,4381922.0,4816.795,26664.871,52475.0,4383.23,2396.30979,,63.90712,15642775.7961621,88.6162
2003-02-01,11211870.704,6227.817,4108240.0,4934.181,28554.441,49543.0,4459.17,2634.551707,,64.23007,16912578.8971137,88.1235
2003-03-01,12249836.575,8307.571,4705775.0,6248.965,30394.405,57592.0,5429.23,3187.329393,,64.75556,18704404.3706501,85.138
2003-04-01,12273528.951,9777.044,4517683.0,7046.056,27045.17,62446.0,6691.78,4247.791505,,65.1294,18344034.1760482,85.1013
2003-05-01,12356642.502,13871.208,4984393.0,8138.004,28546.772,70821.0,7335.69,4762.02631,,64.96674,18750856.568091705,85.205
2003-06-01,11679944.302,15961.355,6129281.0,8864.481,27550.388,72412.0,7508.16,5063.945617,,63.98083,18133778.860991105,83.6848
2003-07-01,11430945.601,17844.523,8172469.0,9719.087,29232.329,78407.0,9989.43,6752.008974,,64.34961,17314554.8808911,85.4916
2003-08-01,8268182.189,19349.62,8861145.0,10850.607,24263.615,82299.0,11786.14,7038.894012,,65.56943,12804959.7665308,85.1834
2003-09-01,11707759.329,16193.655,6370620.0,9126.943,28274.221,74123.0,7526.46,5034.911638,,65.5346,17692684.1971205,86.2646
2003-10-01,13068711.517,12560.034,5654677.0,8390.919,34179.789,71488.0,6844.17,4363.732287,,66.46391,19999617.6885429,88.3452
2003-11-01,11674836.159,5997.743,4015686.0,5721.699,32801.083,57148.0,4753.08,2636.271186,,66.20424,17626920.2670059,86.0809
2003-12-01,11573125.08,5162.321,4070713.0,5203.461,33568.748,55512.0,5246.28,2724.1017,,66.26765,17531687.8436191,84.9892
2004-01-01,10698765.242,5640.535,4288365.0,5320.764,27899.493,55998.0,4806.4,2558.157869,2302.983,66.73425,16711721.6388408,84.9071
2004-02-01,11528076.991,6591.878,4058728.0,5791.327,31043.289,55464.0,5192.53,2899.826868,2443.751,67.96473,17873017.9265201,85.0894
2004-03-01,13079619.639,8072.847,4491257.0,6731.864,34558.26,61662.0,5443.02,3164.80788,3037.58,66.05424,19924818.9807976,85.6263
2004-04-01,12361026.722,9231.12,4018749.0,7466.503,31092.581,67542.0,6974.59,4222.028084,3408.278,67.80755,18635873.1437688,86.1343
2004-05-01,12702338.072,13226.514,4347904.0,8390.589,33793.846,75009.0,7564.66,4951.38579,3770.232,68.15977,18943718.1215907,87.1921
2004-06-01,13084393.903,14870.928,5345227.0,9115.712,32207.218,76169.0,7366.34,4863.003881,4111.018,68.29285,19718618.9975858,85.6644
2004-07-01,12880549.653,17354.85,7125730.0,10519.634,33681.873,83868.0,10366.85,6819.108007,5553.921,69.41726,19407569.5021673,87.8227
2004-08-01,8891042.646,18680.751,8112172.0,11228.258,28940.956,85645.0,11717.6,6965.029546,5362.059,69.32494,13504898.015444,88.8607
2004-09-01,12103008.379,16486.885,5724823.0,9802.938,32425.731,78439.0,7858.67,5344.361341,4394.749,69.10436,18104982.9358714,88.098
2004-10-01,13002132.238,12847.986,5050452.0,9275.146,35870.901,78080.0,7539.04,4723.169949,4037.65,70.78565,19142844.1345321,88.155
2004-11-01,13779228.218,6313.22,3705779.0,6088.535,35329.269,59624.0,5070.11,2847.549173,2583.357,69.89319,20092295.187235,87.3709
2004-12-01,12350175.993,5336.104,3672610.0,5833.343,37102.166,60099.0,5714.63,3056.105045,2752.539,70.9938,18307130.420905095,88.2327
2005-01-01,10904549.63,5994.553,3997231.0,5972.95,28966.752,60933.0,5060.2,2716.33629,2372.254,71.13717,16332505.0547495,89.1274
2005-02-01,12141345.066,6524.41,3850330.0,5962.254,30900.388,57558.0,5264.37,2906.221068,2431.526,70.13242,17930996.8028579,88.5381
2005-03-01,12884609.137,7893.526,4214077.0,7605.874,34099.512,67808.0,6407.99,3701.456564,3205.547,71.1649,18719233.0237272,89.7407
2005-04-01,13405225.939,8794.928,3183137.0,7619.926,34227.924,69630.0,6952.75,4194.66738,3091.053,70.2845,19801631.0755673,89.9811
2005-05-01,13307218.886,13562.524,3874742.0,9098.315,30452.983,78820.0,8134.11,5221.130623,3862.683,71.01622,19216750.8205066,90.9249
2005-06-01,13581138.19,15451.412,4693504.0,9752.583,30415.532,80408.0,8187.47,5271.021905,4026.436,70.83678,19877749.2976784,90.4959
2005-07-01,12799560.067,18100.371,6608801.0,11563.925,31551.506,89308.0,11487.45,7391.403698,6184.257,72.2475,18130504.143555894,91.3964
2005-08-01,9920355.327,19280.936,7559752.0,11913.227,25919.091,89460.0,12483.59,7447.263046,5800.647,71.82317,14141258.410755,89.8826
2005-09-01,13515957.696,17286.343,5410570.0,10586.481,30237.104,82163.0,8800.63,5835.913977,5064.086,72.51121,19171710.6382028,91.6285
2005-10-01,13215763.74,13594.059,4815267.0,9845.377,35061.966,80432.0,7925.03,4931.778037,4416.29,71.90405,18503205.6055743,88.0277
2005-11-01,14592635.86,6757.162,3706910.0,6638.948,34104.843,63342.0,5396.73,3093.397312,2939.454,73.70313,20508803.7548728,92.1635
2005-12-01,13290635.255,5521.615,3497263.0,6273.164,34066.457,63586.0,6044.76,3174.045306,2611.332,74.01167,18482095.5646914,90.7799
2006-01-01,12753035.63,6531.942,3793761.0,6200.624,28198.27,63167.0,5306.09,2732.969369,2290.205,73.49976,18080628.3114104,91.5442
2006-02-01,13992104.461,6827.137,3675028.0,6189.137,28032.877,58996.0,5645.91,2981.712403,2443.905,74.22489,19989035.0090652,93.6332
2006-03-01,15449722.016,8659.896,4111517.0,7597.282,33749.042,67868.0,6487.73,3696.721296,3148.438,75.08012,21383240.880770095,94.0911
2006-04-01,13161178.898,10853.135,3662820.0,9137.361,30304.043,74533.0,8097.68,4946.604819,3820.548,75.93651,18426782.1332466,94.7118
2006-05-01,15471516.723,14851.186,3932621.0,9824.286,31728.492,82383.0,8751.69,5581.535859,4093.447,76.15346,21448492.9465031,94.601
2006-06-01,15192130.605,17654.21,5023315.0,10773.138,31650.533,84893.0,8274.55,5535.597699,4624.708,76.47539,21073361.0283151,96.5667
2006-07-01,13596858.921,20289.22,7173141.0,12221.964,32753.037,93473.0,11361.18,7458.513503,6298.619,76.22528,18342220.4963721,92.4508
2006-08-01,11264430.608,20269.122,7524197.0,12503.27,27253.141,93760.0,12713.85,7558.828588,6011.584,76.55811,15284645.673341,93.4915
2006-09-01,14092494.498,18290.662,5477883.0,11345.664,32115.413,87603.0,9053.47,6055.854802,5383.588,77.45554,19123834.5824394,92.9997
2006-10-01,15263497.286,14040.839,4740472.0,10285.854,36523.125,84135.0,8146.2,5081.446377,4253.836,77.23221,20467663.0078916,93.8557
2006-11-01,15096807.186,7318.339,3658429.0,6972.846,37212.054,66614.0,5592.74,3136.165271,2940.559,77.71383,20314214.2224253,93.4547
2006-12-01,14538082.983,6353.918,3664055.0,6830.982,37888.875,65204.0,6301.97,3221.921985,2933.809,78.8255,19678379.3573691,96.1531
2007-01-01,13968537.674,6771.914,3906586.0,6569.836,31898.092,65978.0,5528.82,2825.244573,2414.0,78.23278,19176352.1437385,93.9196
2007-02-01,14859700.138,7117.09,3747393.0,6685.102,31508.474,63056.0,5694.33,3107.733065,2621.0,79.45551,20208803.4600226,93.8845
2007-03-01,16301841.294,9288.373,4194052.0,8598.951,33490.121,75311.0,6896.56,3926.503325,3471.0,79.47303,21843743.4151646,95.9394
2007-04-01,14399070.415,11013.241,3418889.0,9517.243,31330.574,81317.0,8001.29,4731.193086,3768.0,80.06559,19701581.973124,94.8511
2007-05-01,16018788.337,14630.379,3828708.0,10379.6,33805.737,90463.0,8447.32,5447.773635,4079.0,79.64263,21468465.109029,94.9513
2007-06-01,16109748.874,17608.054,4862554.0,11650.638,34212.026,92993.0,8866.99,5753.986469,5167.0,81.18568,21554219.5845409,97.777
2007-07-01,15321762.724,20410.43,6540314.0,13430.282,34299.917,102215.0,11898.06,7527.345017,6652.0,81.77579,20190031.1564684,98.1163
2007-08-01,12125691.771,20882.537,7062422.0,13844.736,30013.379,102465.0,13336.19,7694.669306,6699.0,81.13613,16186063.5931886,98.5362
2007-09-01,14903099.693,18532.576,5092243.0,12489.665,34265.504,95424.0,9401.09,6084.476397,5686.0,81.32394,19665369.2485682,97.8332
2007-10-01,16706635.863,14270.794,4555329.0,11120.944,38683.872,89835.0,8247.52,5037.518097,4473.0,81.44934,22108099.7182063,99.6418
2007-11-01,16568049.75,7762.364,3428880.0,7829.212,37416.916,71747.0,5872.42,3276.587217,3168.0,82.86902,22097518.5668641,99.7151
2007-12-01,14195621.436,6805.024,3473393.0,7466.467,37405.514,71155.0,6270.02,3222.888935,3100.0,82.43888,18901759.4966155,98.0672
2008-01-01,14928260.944,7048.547,3826479.0,7114.203,32609.085,70363.0,5572.86,2883.53321,2583.0,82.58876,19802123.1374433,100.416
2008-02-01,16621408.421,7802.745,3851709.0,7472.232,34741.803,67780.0,6028.09,3304.590778,2914.0,84.11279,21932761.6914322,100.3675
2008-03-01,15881583.587,9653.678,4071177.0,9501.175,36192.757,78069.0,7351.85,4182.288745,3760.0,83.17853,21093927.4353237,98.8675
2008-04-01,17963810.975,10828.903,3162302.0,9339.237,36282.195,79703.0,7780.95,4626.714623,3705.0,82.45648,24023708.994669694,98.9039
2008-05-01,16621279.823,15547.934,3837149.0,11202.049,35196.997,90606.0,9264.67,5704.405423,4502.0,81.99831,22152080.5041569,95.1997
2008-06-01,15464022.719,17294.496,4738991.0,11836.807,39103.927,93592.0,8999.23,5788.436623,5213.0,80.64403,20375625.4521745,91.8924
2008-07-01,17188940.56,20960.235,6588345.0,13422.307,37432.189,100560.0,11373.58,6968.267859,6587.0,80.62231,22127446.9243886,98.689
2008-08-01,12121831.836,21102.064,6945027.0,14185.608,34267.485,102758.0,13282.39,7465.521767,6949.0,80.71876,15748289.8970139,95.7502
2008-09-01,17290431.117,18117.526,4861694.0,11984.044,36003.031,91810.0,8802.93,5728.763442,5477.0,80.03747,22634905.945669495,94.2353
2008-10-01,16671547.351,13855.895,4118292.0,10511.577,38925.466,85250.0,7764.99,4790.669403,4241.0,77.70594,22110489.151226,90.1529
2008-11-01,14288900.418,7097.485,3270143.0,7093.915,35944.409,62803.0,5406.68,2902.859113,2935.0,75.83731,18609058.80603,87.7642
2008-12-01,13142279.893,6054.041,3229193.0,6633.426,32595.556,60203.0,5620.27,2809.767982,2828.0,72.92736,17484645.9061151,84.6389
2009-01-01,11092411.871,6232.114,3314084.0,6271.669,27918.772,58689.0,5254.32,2521.203385,2303.0,71.70929,15346583.7156838,81.8778
2009-02-01,12400568.19,6454.422,3160852.0,6247.751,28381.943,56000.0,5332.69,2786.308897,2627.0,70.3784,17286141.2732557,79.4578
2009-03-01,13714245.412,8151.127,3354117.0,7644.281,32489.015,65149.0,6075.9,3314.402871,3120.0,69.74417,19225451.716820695,79.8776
2009-04-01,13192118.289,10187.933,2889415.0,9170.238,29373.505,73653.0,7564.42,4554.402994,3828.0,72.14125,18736381.6227785,80.439
2009-05-01,12893413.676,13838.041,3038385.0,9944.353,29233.166,80291.0,8249.67,5036.750689,4099.0,71.21854,18677313.2594468,80.3404
2009-06-01,13895927.323,16117.834,3715799.0,10839.035,30749.31,82399.0,8169.77,5211.365415,4782.0,72.06582,19470655.6922214,82.7752
2009-07-01,14474719.925,19060.29,5485381.0,12604.063,34877.696,91572.0,11046.67,6585.160205,6106.0,72.42102,20074351.8376179,82.6499
2009-08-01,10072323.375,18938.228,6022315.0,13095.503,31133.468,92661.0,12705.23,6841.32319,6401.0,73.41776,14685358.992692,84.2529
2009-09-01,13871145.853,16533.993,4081705.0,11100.479,36221.625,82912.0,8137.44,5174.960011,5011.0,74.34982,19808364.4492176,83.4578
2009-10-01,14918180.225,13005.698,3346498.0,10079.105,41711.932,78615.0,7900.94,4619.88347,4073.0,74.8201,21160693.2305582,85.0629
2009-11-01,14067741.445,6748.12,2917908.0,6932.688,40786.829,60030.0,5400.48,2813.564618,2844.0,75.08295,19817580.5597671,84.1133
2009-12-01,13661481.013,5960.138,2920915.0,6676.775,42681.108,58464.0,5669.61,2704.430363,2767.0,75.48727,19376217.3224268,87.7871
2010-01-01,12091730.785,6213.827,2827341.0,6351.139,35502.586,57336.0,5390.78,2546.096465,2406.0,75.96682,17296506.3674676,86.1372
2010-02-01,13986408.776,6836.289,2956077.0,6333.083,36782.458,54663.0,5316.64,2678.054055,2527.0,76.87744,20215825.8425558,88.5067
2010-03-01,16652383.358,8701.662,3249738.0,8095.873,44875.357,65711.0,6567.0,3419.861678,3283.0,79.08914,23865346.5062502,90.4602
2010-04-01,14623257.267,10267.711,2490189.0,8057.906,45979.616,67762.0,7156.91,3947.793508,3398.0,77.80422,21193825.864171,86.7271
2010-05-01,16213445.891,14701.698,3118140.0,10330.598,41660.714,83065.0,8147.15,5094.818387,4255.0,80.21319,22112587.0823766,91.8547
2010-06-01,16203220.225,16803.178,3897598.0,11346.839,39286.006,86732.0,8534.51,5297.215108,4894.0,80.73754,22473699.7844288,90.8017
2010-07-01,16378808.95,20997.313,5744074.0,13463.694,41272.104,97664.0,11377.67,6884.31084,6332.0,81.37681,22418897.4142174,91.955
2010-08-01,12874026.99,21644.649,6278555.0,13976.839,37175.918,98414.0,13045.05,7107.937939,6798.0,81.74319,17559810.6242534,90.7316
2010-09-01,15901966.155,18751.943,4356204.0,11954.2623,39179.044,86553.0,8792.13,5395.037422,5136.0,81.66389,21764135.9188516,92.4317
2010-10-01,17392551.946,14665.216,3550683.0,11095.999,45950.159,83949.0,8187.5,4819.024625,4293.0,84.38522,23720702.0689026,92.9162
2010-11-01,17525023.872,7882.715,2851763.0,7371.302,45873.947,62498.0,5420.55,2886.765077,2932.0,83.42087,23833574.0137701,94.7203
2010-12-01,15956191.304,6460.989,2724594.0,6671.059,46810.91,59022.0,5392.89,2581.540406,2672.0,83.02378,22014314.55233,95.4578
2011-01-01,15955103.022,7094.015,3048511.0,6921.995,39997.508,61488.0,5704.14,2659.222593,2474.0,85.54425,21561925.806384,98.2132
2011-02-01,17136929.187,7881.283,3101862.0,6917.385,40281.333,58756.0,5581.42,2737.948192,2686.0,84.58311,23198294.6422638,97.0529
2011-03-01,19645243.405,10332.8,3462053.0,8741.543,48500.45,70633.0,6529.07,3387.672697,3226.0,85.39475,26397531.1096536,96.247
2011-04-01,17343848.231,12740.491,3135815.0,10725.256,42132.816,83230.0,8127.04,4656.34689,4175.0,86.16701,22949219.3585243,96.9864
2011-05-01,18328321.579,16310.88,3288146.0,11338.321,43575.219,90028.0,8532.66,5185.002343,4404.0,85.97773,24820429.0208915,97.0568
2011-06-01,17953510.396,20099.117,4277328.0,12595.331,41319.361,93951.0,9427.98,5743.680904,5345.0,85.71819,23885564.3466409,95.2239
2011-07-01,18635206.323,23878.232,6186298.0,14851.685,44094.174,105017.0,12070.1,7282.900107,6916.0,86.53719,24375384.2740605,97.7918
2011-08-01,15443785.263,24400.781,6795664.0,15016.294,39212.391,104189.0,13615.37,7621.014766,7202.0,86.74424,20609505.5130668,95.8611
2011-09-01,17779690.322,20901.356,4811329.0,13263.972,44331.068,94517.0,9488.31,5982.339289,5414.0,85.89809,23450414.263382494,97.0526
