_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2003-03-01,1.457293,1.414438,-0.063726,-0.768789,-1.017704,0.465412
2003-04-01,1.348439,0.873447,-0.4383,-1.533054,-0.621446,0.664843
2003-05-01,1.264498,0.775982,-0.489471,-0.51091,-0.886373,-0.078768
2003-06-01,1.215711,1.409212,-0.578869,0.181241,-1.119129,0.008365
2003-07-01,1.529682,2.052491,-0.434296,-0.246704,-1.044443,0.207781
2003-08-01,1.884266,2.70066,-0.605877,-0.389217,-1.090518,1.000088
2003-09-01,1.976506,2.163224,-0.836429,-0.707454,-1.049073,1.29803
2003-10-01,1.961207,1.707329,-1.058279,-0.904206,-1.063779,1.41768
2003-11-01,1.838836,1.627496,-1.087981,-0.007912,-0.937107,1.23532
2003-12-01,1.793621,1.579275,-1.147231,-0.371335,-0.769749,1.688857
2004-01-01,1.690616,1.10185,-1.194144,-1.062208,-0.354225,1.442904
2004-02-01,1.467545,1.117675,-1.002699,-0.148531,-0.94732,0.786868
2004-03-01,1.620712,1.621082,-0.746695,0.191197,-0.721423,0.52989
2004-04-01,2.199799,2.09221,-0.373294,-0.147655,-0.811665,0.49949
2004-05-01,2.477083,2.014507,-0.100325,-0.512005,-0.634297,0.675984
2004-06-01,2.681154,1.018317,-0.072116,-1.015402,-0.290286,0.644063
2004-07-01,2.598883,0.587402,-0.121239,-0.390208,-0.857976,0.388363
2004-08-01,2.525266,0.387035,-0.135097,-0.102603,-0.570657,0.646342
2004-09-01,2.729561,0.668378,-0.045193,-0.440079,-0.614503,0.512728
2004-10-01,2.642378,0.370577,-0.124428,-0.325688,-0.868184,0.625498
2004-11-01,2.496053,0.462687,0.014484,-0.65657,-1.02835,0.818702
2004-12-01,2.228216,0.443157,-0.060929,-0.131434,-1.137109,0.664439
2005-01-01,2.211122,1.252273,0.133186,0.040583,-1.349952,0.814174
2005-02-01,1.768155,1.167523,0.12456,-1.319769,-0.431923,1.257025
2005-03-01,1.309676,0.739957,0.32932,-1.554043,-1.121864,0.529128
2005-04-01,0.728212,0.588045,0.459106,-0.661752,-1.037349,0.324057
2005-05-01,0.679333,0.316789,0.259504,-0.733447,-0.892032,0.190102
2005-06-01,0.661402,0.622142,-0.057474,-0.020132,-1.485969,0.352983
2005-07-01,0.824692,0.754834,-0.307782,0.15034,-0.761984,1.341094
2005-08-01,1.121315,0.481149,-0.321912,-0.452828,-0.453583,1.575553
2005-09-01,1.249749,0.049703,-0.283213,0.174157,-0.750047,1.299487
2005-10-01,1.154873,-0.157392,-0.133479,0.028777,-0.180991,1.324045
2005-11-01,1.317824,0.028424,-0.002045,0.01098,-0.264915,0.790351
2005-12-01,1.725881,0.588863,0.010499,0.443185,-0.663273,1.055143
2006-01-01,2.037688,0.639528,0.716287,-0.413115,-0.719336,1.147884
2006-02-01,2.333012,0.371228,1.233064,-0.236161,-1.263251,0.763276
2006-03-01,2.383869,0.412859,1.645792,0.778738,-1.30592,0.682439
2006-04-01,2.549771,-0.143344,1.372892,0.132657,0.12575,1.284674
2006-05-01,2.712743,0.009222,1.14893,0.246843,-0.482543,1.212733
2006-06-01,3.088991,0.126389,1.366369,0.947077,-0.184176,1.339025
2006-07-01,3.607351,0.358211,1.259799,-0.637887,-0.343725,1.552301
2006-08-01,3.752362,0.080814,1.070644,-0.634846,-1.248278,0.839669
2006-09-01,3.575913,0.279108,0.590739,-0.324673,-1.7308,1.412127
2006-10-01,3.952492,0.618924,0.571734,0.151095,-1.574704,1.186027
2006-11-01,3.997173,0.314241,0.411194,-0.210723,-0.488826,1.659845
2006-12-01,4.462739,-0.088381,0.328382,-0.174479,-0.750611,0.869825
2007-01-01,4.131205,-0.020209,-0.50748,0.3249,-0.254352,0.628648
2007-02-01,4.099531,-0.013424,-1.464448,-0.29211,0.051858,0.317887
2007-03-01,3.936385,0.515852,-2.235078,-0.146747,0.228473,0.185648
2007-04-01,4.131269,0.700018,-2.408015,0.249367,-0.607461,0.356242
2007-05-01,4.251223,0.690665,-2.185341,-0.500111,-0.235424,0.792895
2007-06-01,3.859324,0.37129,-2.208398,-0.647349,-0.693758,0.269647
2007-07-01,3.70177,0.048023,-1.953756,0.418609,-0.273373,0.079111
2007-08-01,3.527584,0.117513,-1.939216,0.020839,0.376043,0.414296
2007-09-01,3.35035,-0.174044,-1.762885,-0.295493,0.202705,0.168066
2007-10-01,2.852146,0.102013,-1.591846,-0.475579,-0.170089,0.063795
2007-11-01,2.641729,0.530347,-1.445354,0.16219,-1.191028,-0.166541
2007-12-01,2.113001,0.484486,-1.368159,-0.811815,-0.299303,0.94785
2008-01-01,1.642868,-0.060904,-1.07838,-0.945107,-0.895577,0.719757
2008-02-01,1.037603,0.178532,-0.125707,-0.000378,-0.778126,0.772998
2008-03-01,0.358216,-0.424161,0.547441,-1.058155,-0.443062,0.459675
2008-04-01,-0.09366,-0.026701,0.797187,-0.799368,-1.347789,0.219281
2008-05-01,-1.181601,-0.337684,0.800931,-0.559617,-0.645501,0.7779
2008-06-01,-2.243988,-0.895546,0.890142,-2.375474,-0.466933,1.182513
2008-07-01,-3.502166,-1.051669,1.162325,-1.171655,-1.523385,0.362633
2008-08-01,-4.213179,-0.620303,1.227646,0.657668,-2.315565,0.897504
2008-09-01,-4.71418,-0.288494,1.665989,-1.285886,-0.083,1.846188
2008-10-01,-6.530726,-0.987364,1.306054,-3.20509,-0.186617,1.420406
2008-11-01,-9.299717,-1.769246,1.098166,-4.037923,-0.966213,0.7296
2008-12-01,-12.246655,-1.915475,0.64605,-3.019743,-2.563543,-0.23481
2009-01-01,-14.562581,-1.442831,0.283432,-1.040069,-2.864266,0.537038
2009-02-01,-16.537751,-1.151922,-0.027505,-1.40878,-0.685186,2.280963
2009-03-01,-17.74795,-0.900724,-0.159571,-1.064244,-0.329409,2.621742
2009-04-01,-18.382164,-0.648406,0.041452,-0.007014,-0.133504,2.326521
2009-05-01,-17.951253,-0.042274,0.13593,0.8274,-0.750394,1.743223
2009-06-01,-16.801904,1.177952,0.245688,1.700728,-0.058533,2.19806
2009-07-01,-15.751119,1.989613,0.102316,0.61139,0.749828,2.629862
2009-08-01,-14.116126,2.205368,0.277325,-0.866031,1.248791,2.3631
2009-09-01,-13.193201,1.877696,0.043345,-0.641331,-0.248075,1.045246
2009-10-01,-11.456684,2.018662,0.344144,1.03352,-1.489237,0.343518
2009-11-01,-9.997076,2.659241,1.020483,1.658042,0.286082,0.601584
2009-12-01,-7.896097,3.142397,1.938712,1.142206,1.429754,0.170577
2010-01-01,-6.30948,3.250767,2.776798,-0.490129,2.216852,-0.608133
2010-02-01,-4.785694,3.457928,3.087571,-0.049736,-0.637187,-2.82132
2010-03-01,-3.226235,4.506398,3.422292,0.92889,-0.560908,-2.213024
2010-04-01,-2.072055,4.229943,3.26001,-1.465107,1.144187,-1.280988
2010-05-01,-0.911347,3.403292,3.022035,-2.35703,0.513596,-1.677222
2010-06-01,-0.745098,2.132777,2.57635,-1.777275,-0.3108,-2.349503
2010-07-01,-0.296442,1.560449,2.267134,-1.778758,-1.166409,-2.819516
2010-08-01,-0.875016,1.095562,1.660864,-1.388506,-0.921465,-2.180266
2010-09-01,-1.065452,1.112399,1.589486,-0.586963,-1.160454,-1.912673
2010-10-01,-1.183263,1.25038,1.656702,-0.028614,-0.251209,-1.289199
2010-11-01,-0.732579,1.652455,1.952272,-0.109144,-0.223558,-1.27943
2010-12-01,-0.545741,1.526149,1.83976,-0.357527,-0.183253,-0.758141
2011-01-01,0.058372,2.125576,2.136526,-0.035674,-0.764651,-1.029505
2011-02-01,0.156284,1.934172,2.386565,-0.909521,0.442105,-0.469946
2011-03-01,0.115699,1.304698,2.357096,-2.32059,-0.485451,-1.412855
2011-04-01,-0.27082,0.749603,2.254026,-0.992544,-1.101961,-1.715546
2011-05-01,-0.754279,0.333203,1.983322,-0.893237,-0.599719,-1.39355
2011-06-01,-0.98415,0.006377,1.786323,-0.770017,-0.389533,-1.427861
2011-07-01,-1.3515,0.254083,1.747035,-0.320793,-0.037051,-0.789818
2011-08-01,-1.257002,0.347466,1.769903,-0.340988,-0.455018,-0.851897
2011-09-01,-1.53425,0.353537,1.854376,-0.492603,-0.288843,-0.760413
2011-10-01,-2.051867,0.248503,1.91864,-0.815189,0.151797,-0.653468
2011-11-01,-3.153287,-0.3881,1.961606,-0.699575,0.23868,-1.188956
2011-12-01,-4.104465,-0.659276,2.031608,-0.514981,0.706334,-1.307531
2012-01-01,-4.822164,-0.549063,1.898009,-0.041918,0.761542,-1.348689
2012-02-01,-4.846104,-0.364931,1.822546,0.193259,0.537212,-0.988824
2012-03-01,-4.881142,-0.566362,1.654836,-0.277226,0.674804,-0.603969
2012-04-01,-4.975713,-0.695879,1.553322,-0.16071,0.362627,-0.842855
2012-05-01,-5.264409,-0.582271,1.411173,0.05985,0.319982,-0.642173
2012-06-01,-5.313625,-0.302001,1.49361,0.003901,0.403679,-0.74227
2012-07-01,-5.670014,-0.158309,1.585836,0.180235,0.208559,-0.881579
2012-08-01,-5.559147,0.216008,2.05158,0.847588,0.449801,-1.076664
2012-09-01,-5.750655,0.272174,2.124231,0.223136,1.204889,-0.475034
2012-10-01,-5.633656,-0.049161,2.122866,-0.614423,1.140491,-0.704755
2012-11-01,-5.781322,-0.04864,1.693554,0.050296,0.195099,-0.749709
2012-12-01,-5.275543,0.469305,2.007333,0.495652,0.163669,-0.967179
2013-01-01,-4.930231,0.798102,1.983186,-0.186608,0.663187,-0.997382
2013-02-01,-4.504114,0.742736,1.672413,-0.337558,0.160368,-1.315709
2013-03-01,-4.220573,0.752216,1.393561,-0.255067,0.741977,-1.06673
2013-04-01,-3.86043,0.943871,0.993026,-0.118474,-0.053535,-1.397632
2013-05-01,-3.589518,1.234591,0.890749,0.724284,-0.468059,-1.308633
2013-06-01,-3.147163,1.831243,0.858614,0.647285,0.425004,-0.259339
2013-07-01,-2.615656,1.476576,0.906456,-0.336468,1.5967,-0.074857
2013-08-01,-2.134758,1.175105,0.45108,-0.791847,0.412223,-0.807836
2013-09-01,-1.578054,1.291711,0.22104,-0.083581,-0.333285,-1.089489
2013-10-01,-1.236897,1.591912,0.11013,-0.059153,-0.380186,-1.086442
2013-11-01,-0.773219,1.679144,0.353226,-0.703055,0.630348,-1.088914
2013-12-01,-0.662054,1.553233,0.166965,-0.249248,-0.087708,-1.786305
2014-01-01,-0.237604,1.347724,-0.104728,0.16271,0.081431,-1.081754
2014-02-01,0.094363,1.529085,-0.301309,-0.2739,0.740165,-0.891825
2014-03-01,0.242717,1.502307,-0.748626,0.164298,-0.223315,-0.913823
2014-04-01,0.742498,1.621779,-0.549057,0.184751,0.460956,-0.640347
2014-05-01,1.273454,1.453563,-0.453055,-0.419879,1.063868,-0.640596
2014-06-01,1.608375,0.706152,-0.585615,-0.613625,0.116498,-1.314908
2014-07-01,1.740372,0.893831,-0.830346,-0.129638,-0.575264,-1.120343
2014-08-01,1.787759,0.797356,-0.998847,-0.425255,0.33751,-0.393144
2014-09-01,1.806219,0.528777,-1.060011,-0.482703,-0.231189,-1.04256
2014-10-01,1.635851,0.440337,-1.075508,0.152169,-0.09829,-0.974919
2014-11-01,1.772022,0.977893,-1.027467,0.735972,-0.29776,-1.130674
2014-12-01,1.68451,1.136388,-1.032161,-0.209358,0.996573,-0.336368
2015-01-01,1.755216,0.968697,-1.2623,-0.815225,0.502642,-1.096069
2015-02-01,1.728899,0.860422,-1.246099,0.214775,-0.076831,-1.266758
2015-03-01,2.724378,1.085419,-1.099586,0.636225,0.166859,-1.330663
2015-04-01,3.229313,0.622302,-1.313166,0.022696,0.478956,-0.778279
2015-05-01,3.64242,0.321615,-1.620543,-0.031312,-0.17869,-0.758617
2015-06-01,3.669061,0.284732,-1.69853,0.316645,0.416444,0.037241
2015-07-01,3.839485,0.157093,-1.521913,-0.056566,0.260153,-0.739511
2015-08-01,3.668158,0.120583,-1.740098,0.143552,-0.177013,-0.72944
2015-09-01,3.437403,0.346708,-1.795512,-0.041566,0.415825,-0.575768
2015-10-01,3.291371,0.414726,-1.970126,0.001422,0.194432,-0.687825
2015-11-01,3.093403,0.289785,-1.818643,0.031954,0.267164,-1.026858
2015-12-01,3.116539,0.306074,-1.749958,0.383611,0.212555,-0.940539
2016-01-01,2.861445,0.14055,-1.761992,0.455698,0.634119,-0.798833
2016-02-01,2.905451,0.07633,-1.814398,0.275843,1.007633,-0.952369
2016-03-01,2.331526,-0.34594,-2.145839,-0.161681,1.440394,-0.909675
2016-04-01,2.458219,-0.190106,-2.346171,0.557205,0.441988,-1.379982
2016-05-01,2.242357,-0.173903,-2.465293,0.279474,1.326109,-0.51756
2016-06-01,2.333311,-0.427076,-2.57438,-0.199918,0.256508,-1.1843
2016-07-01,1.878268,-0.545653,-2.663469,0.477536,0.295825,-0.526355
2016-08-01,1.881249,-0.331729,-2.270427,0.493966,0.529254,-0.566073
2016-09-01,1.794641,-0.24657,-2.038226,0.966264,0.311955,-0.527883
2016-10-01,1.994547,-0.155256,-1.591432,0.755252,0.76792,-0.230404
2016-11-01,2.239708,-0.286432,-1.479504,0.495765,1.075836,0.176365
2016-12-01,2.508138,-0.558577,-1.513027,0.264035,0.253553,0.29138
2017-01-01,2.942117,-0.497957,-1.026666,0.445376,-0.097999,0.342984
2017-02-01,3.023677,-0.70713,-0.823132,0.136998,-0.293178,0.628058
2017-03-01,3.226243,-0.725057,-0.523158,0.121362,-0.748251,0.334856
2017-04-01,3.133519,-0.933953,-0.820873,0.238681,-0.293629,0.980832
2017-05-01,3.51219,-0.795486,-0.902641,0.69807,-0.807991,0.710573
2017-06-01,3.969512,-0.585687,-1.003366,0.939485,0.117775,1.125798
2017-07-01,4.085043,-0.323754,-0.970179,0.071705,-0.110147,0.621407
2017-08-01,3.86568,-0.284327,-1.029173,-0.222478,-0.301822,0.502606
2017-09-01,3.695762,-0.107203,-0.924479,-0.001156,-0.617659,0.336608
2017-10-01,3.915666,-0.16645,-1.155773,0.411463,-0.612662,0.723591
2017-11-01,4.291878,-0.045804,-1.282347,-0.022577,-0.396222,1.060097
2017-12-01,4.443653,-0.093754,-1.404567,-0.053609,-0.468449,0.904513
2018-01-01,4.130938,-0.450129,-1.468885,-0.442479,-0.450519,0.497261
2018-02-01,3.617405,-0.672789,-1.51828,0.030464,-0.556776,-0.114277
2018-03-01,3.291363,-0.595749,-1.44446,0.588677,0.148049,0.255874
2018-04-01,3.368661,-0.53054,-1.277669,0.279347,0.417756,0.326246
2018-05-01,3.434867,-0.857531,-1.26048,0.009637,0.201802,0.321679
2018-06-01,3.125865,-1.151293,-1.27598,-0.087001,-0.388993,0.353568
2018-07-01,2.985045,-1.273906,-1.139713,0.535432,-0.364867,0.464153
2018-08-01,2.513638,-1.332726,-0.885985,0.573549,0.143848,0.493984
2018-09-01,2.246594,-1.503303,-0.709071,-0.136125,0.772108,0.48852
2018-10-01,1.809605,-1.505773,-0.676782,-0.001404,0.293202,-0.03995
2018-11-01,1.754829,-1.704705,-1.001197,0.604447,-0.272947,0.063562
2018-12-01,1.644949,-1.471009,-1.163835,0.281781,0.266261,0.195242
2019-01-01,1.48763,-1.100162,-1.348356,0.76749,-0.101291,0.043613
2019-02-01,1.435826,-0.693038,-1.034331,0.320646,0.686104,0.302898
2019-03-01,1.343033,-0.980865,-1.109075,0.059683,0.242642,-0.246591
2019-04-01,1.309997,-1.312525,-1.156743,0.948396,0.166456,-0.097389
2019-05-01,1.113261,-1.31172,-1.085756,0.62594,1.222003,0.241069
2019-06-01,1.045731,-1.511153,-1.20433,0.183236,1.220314,-0.17444
2019-07-01,0.697983,-1.448723,-1.392541,0.451605,0.4772,-0.639659
2019-08-01,0.883657,-1.206963,-1.746782,1.089201,0.450695,-0.329011
2019-09-01,0.873305,-0.745556,-1.675712,0.774186,0.969461,-0.086456
2019-10-01,0.804342,-0.744278,-1.635997,0.182996,1.090196,-0.401869
2019-11-01,0.590201,-0.752505,-1.562297,0.255597,0.773304,-0.726581
2019-12-01,0.553128,-1.070319,-1.529618,0.862422,0.749415,-0.599295
2020-01-01,0.41896,-1.39269,-1.470318,0.600851,1.219261,-0.036151
2020-02-01,0.40505,-1.026131,-1.482787,1.313216,0.453928,-0.288695
2020-03-01,-1.479852,-1.983537,-1.996057,-1.757656,2.320642,1.513747
2020-04-01,-8.011135,-7.382798,-3.592618,-10.301209,4.142602,1.403614
2020-05-01,-14.675349,-8.851505,-4.856457,-2.261505,-5.126172,-3.86725
2020-06-01,-17.125055,-4.124577,-3.031795,9.201014,-2.521563,-0.594902
2020-07-01,-12.334328,0.500835,-0.752081,5.475819,4.697924,2.078159
2020-08-01,-8.180883,0.941967,0.128197,1.486294,5.040043,1.041528
2020-09-01,-5.663472,0.149898,-0.403223,0.676028,1.448346,-0.750347
2020-10-01,-4.132866,0.413688,-0.710207,1.408876,0.186103,-0.602324
2020-11-01,-2.763571,1.089378,-0.687091,0.383715,1.20476,0.523529
2020-12-01,-2.058754,0.788703,-0.867924,-0.458921,-0.045821,0.149666
2021-01-01,-1.831055,0.313025,-0.606802,-0.587898,-0.266479,0.458252
2021-02-01,-2.200526,-0.013663,-0.761101,-0.573667,-0.425255,0.749416
2021-03-01,-0.099812,1.53796,0.209924,3.695869,-2.292126,-0.12362
2021-04-01,5.424519,7.373559,2.682125,9.839274,-2.775994,0.05669
2021-05-01,10.581038,8.552641,5.000435,1.722474,5.347366,3.569341
2021-06-01,11.506921,4.702699,4.344454,-8.274139,3.085227,0.172063
2021-07-01,7.800276,0.215086,2.240337,-4.690045,-2.83295,-1.476017
2021-08-01,5.257631,-0.961933,1.307642,-0.994647,-3.850176,-0.575431
2021-09-01,4.3779,-1.22193,1.595121,0.195611,-1.301719,1.446365
2021-10-01,4.290264,-2.031214,2.301321,-0.290493,-0.050151,1.634907
2021-11-01,4.439827,-2.968859,2.747344,0.932285,-1.376744,0.998547
2021-12-01,5.021645,-3.145615,3.416304,1.496147,-0.445553,1.513127
2022-01-01,5.473446,-3.347622,3.568046,1.285806,-0.152481,1.397399
2022-02-01,6.014918,-3.917848,3.886718,1.113818,0.115227,1.556485
2022-03-01,5.406276,-5.721769,3.714893,-0.79523,1.16343,2.135805
2022-04-01,5.48024,-6.087166,4.148861,1.2719,-1.423008,0.241779
2022-05-01,5.483713,-5.039052,4.948038,3.303749,-0.682785,0.655614
2022-06-01,6.459799,-4.376118,5.600585,1.338386,0.578969,0.345561
2022-07-01,5.849821,-4.63362,5.67303,0.530297,0.727572,0.138872
2022-08-01,4.913073,-5.257218,5.628815,1.091773,0.292555,-0.386414
2022-09-01,3.820506,-4.973231,5.55242,1.76567,0.908484,-0.432157
2022-10-01,3.051579,-4.689815,4.916422,0.965653,2.227941,-0.057751
2022-11-01,2.071594,-4.604471,3.690153,0.814308,1.2094,-0.942281
2022-12-01,1.765393,-3.958196,2.829842,2.417469,0.949252,-1.474935
2023-01-01,1.206136,-3.224006,1.945766,1.962579,2.404495,-0.935302
2023-02-01,1.011296,-2.910804,1.141138,1.227167,2.107179,-1.069758
2023-03-01,1.288671,-0.98924,0.27902,2.649317,1.150357,-0.84738
2023-04-01,1.47302,-1.019195,-0.660178,0.762063,2.783875,-0.038975
2023-05-01,1.252427,-1.74931,-1.983547,-0.976693,1.93302,-1.306076
2023-06-01,-0.097057,-2.058299,-2.650009,0.999727,1.330034,-1.675493
2023-07-01,-0.498442,-1.460882,-2.757391,1.662869,1.41789,-1.658799
2023-08-01,-0.760625,-1.284672,-2.713228,0.651552,2.790872,-1.127699
2023-09-01,-0.948772,-1.248366,-2.816554,0.664941,1.659728,-1.834642
2023-10-01,-1.090648,-0.864772,-2.726242,1.533,1.096562,-1.29017
2023-11-01,-0.64796,0.050725,-2.521842,0.771619,1.370274,-0.521286
2023-12-01,-0.655987,-0.16756,-2.719762,-0.304609,1.223563,0.194665
2024-01-01,-0.452629,-0.230395,-2.688773,-0.083024,-0.294382,-0.168644
2024-02-01,-0.259045,0.015497,-2.646892,0.810272,0.060983,0.324835
2024-03-01,0.279522,0.1014,-2.435324,0.005705,0.466239,-0.072869
2024-04-01,0.330672,0.341607,-2.633081,0.315938,-0.359508,-0.38801
2024-05-01,0.236973,0.50345,-2.409804,0.446224,-0.066313,0.324948
2024-06-01,0.477841,0.830805,-2.072346,-0.139713,0.325593,0.800324
2024-07-01,0.662649,0.367772,-1.828361,-0.350253,0.10815,0.490395
2024-08-01,0.867307,0.386878,-1.757803,-0.139831,-0.828512,0.18436
2024-09-01,0.95442,0.961531,-1.715956,0.505306,-0.584168,0.339664
2024-10-01,0.969126,1.544699,-1.655319,0.527811,-0.422196,0.16869
2024-11-01,0.90317,0.766018,-1.346735,-0.598366,1.337581,0.444274
2024-12-01,0.656105,-0.144377,-1.156973,-0.604104,0.633988,-0.398016
2025-01-01,0.4281328669353021,-0.6589701458574533,-1.0042928663178943,0.7284958186116259,0.32227469203309056,-0.4621202832876836
2025-02-01,0.11654553414552411,-0.7175922962638178,-0.827948967061752,0.20862803493059856,0.6332842333371147,-0.6773818418829323
2025-03-01,-0.1196870091583546,-1.0142390072225391,-0.679137108496988,-0.07439642375619293,0.7499220554048404,-0.6907810643564101
2025-04-01,-0.21026269806927175,-1.3094836849537692,-0.4611832926827445,0.1101106132704992,1.140303478545741,-0.3802749522329015
2025-05-01,-0.1718359676590025,-1.3184722662300665,-0.5531470767248505,0.8078888788671283,0.49290759043751564,-0.7024608372911936
2025-06-01,-0.1808498289004138,-1.359668238448042,-0.7208801068203897,1.7099317763649031,0.057761450514553614,-0.5488057691256589
2025-07-01,-0.22201868474081646,-1.1161403617139296,-0.7229810623592196,1.5458849745350185,0.4066025442335248,-0.28143320730605714
2025-08-01,-0.3251559693288173,-1.104302665168205,-0.6774567978031288,1.4261854589378116,0.7550624085164181,-0.22596253626604923
2025-09-01,-0.3679658195342314,-1.5491017544049408,-0.6416257597707501,0.40696864875842187,0.9307248087945289,-0.18161957670967632
2025-10-01,-0.33567083460021085,-2.025757679394016,-0.6340670426643491,0.2435041684510526,0.36300868308487966,-0.401266227917911
2025-11-01,-0.31799672210122765,-1.768203630636722,-0.6261584367283956,1.5287518329065306,-0.3859811331097056,-0.663719804729503
2025-12-01,-0.24150746381148747,-1.2589024718499622,-0.4815187617732094,1.2807536757581592,0.3958693832220038,-0.34133974378068527
