_date_,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F
2006-03-01,1.763388,1.822387,0.193471,1.364128,1.61707,1.501925
2006-04-01,1.956051,1.713845,0.138565,1.652199,1.434191,0.513091
2006-05-01,2.293882,2.298878,0.19078,1.525708,1.643218,1.01405
2006-06-01,2.363795,2.44208,-0.040184,1.871722,1.285757,0.769347
2006-07-01,2.25422,2.14523,0.120291,1.480983,2.011942,1.383519
2006-08-01,2.249544,2.172761,0.258679,1.526607,1.967135,1.200357
2006-09-01,2.252085,2.269127,0.211612,1.371161,2.3444,1.509554
2006-10-01,2.410171,2.44455,0.557925,1.319296,2.139994,1.62687
2006-11-01,2.21625,2.173174,0.264467,1.252917,1.951997,0.972168
2006-12-01,2.36641,2.307505,0.252361,1.224925,1.368606,0.922394
2007-01-01,2.13296,2.296776,0.22445,1.523633,1.371343,0.406151
2007-02-01,2.000512,2.367719,-0.202162,1.526039,1.325978,0.511874
2007-03-01,1.936283,2.219256,0.228337,1.79773,1.209666,0.807525
2007-04-01,1.862411,2.131774,0.25975,1.619638,1.73106,0.951989
2007-05-01,1.827608,2.166376,-0.148764,1.472051,1.95746,1.251174
2007-06-01,1.577349,2.054267,-0.016168,1.666227,1.893592,1.121717
2007-07-01,1.370351,1.840758,-0.187362,1.91415,1.35475,0.521307
2007-08-01,1.39015,1.840277,-0.112775,1.759978,1.226867,0.696434
2007-09-01,1.140593,1.546453,-0.241235,1.497709,1.247492,0.576103
2007-10-01,1.065743,1.357974,-0.23206,1.371835,1.197319,1.360877
2007-11-01,0.796344,0.637419,-0.17249,1.317181,1.57277,1.75689
2007-12-01,0.589614,0.350678,-0.567263,1.156572,1.838272,1.970873
2008-01-01,0.325371,0.019646,-0.692708,1.255221,1.489022,2.04118
2008-02-01,0.164365,-0.353071,-0.533068,1.498348,1.316321,1.998097
2008-03-01,-0.514401,-0.878046,-1.771468,1.498892,1.384295,1.307172
2008-04-01,-1.175668,-1.31667,-1.559334,1.536251,0.988291,2.652589
2008-05-01,-1.747722,-1.533076,-1.142361,2.084071,1.152416,1.202977
2008-06-01,-2.26059,-1.818787,-2.263011,1.620024,1.754741,1.203127
2008-07-01,-2.718058,-1.799529,-2.081698,2.451417,0.858871,1.509756
2008-08-01,-3.371626,-2.715476,-1.955295,2.668616,1.260352,1.467367
2008-09-01,-3.688482,-3.089901,-2.487545,2.484224,1.415109,1.760255
2008-10-01,-4.546881,-3.698167,-2.869862,2.755175,1.600621,1.203597
2008-11-01,-5.365487,-3.817929,-3.20785,2.938859,1.458991,0.676384
2008-12-01,-6.237685,-4.106264,-3.351434,3.310702,1.298098,0.334399
2009-01-01,-7.186063,-4.727083,-3.440457,3.266011,1.182336,0.019872
2009-02-01,-7.95319,-5.394928,-3.439361,3.181762,0.812398,-0.513356
2009-03-01,-8.468451,-5.865479,-2.838208,3.010126,0.415521,-0.765316
2009-04-01,-8.280866,-6.240524,-2.456896,3.036581,-0.055589,-1.859499
2009-05-01,-7.891993,-6.223189,-2.167893,2.421584,0.088242,-1.970772
2009-06-01,-7.231796,-6.087002,-1.517239,2.077727,-0.223581,-1.433603
2009-07-01,-6.709329,-5.930177,-1.063806,1.178361,0.564962,-1.487969
2009-08-01,-6.001348,-5.499672,-0.858025,0.475003,0.630367,-1.31248
2009-09-01,-5.620732,-4.997588,-0.544613,0.336522,0.56156,-1.650832
2009-10-01,-4.936581,-4.654608,-0.034535,-0.072578,0.217198,-1.271888
2009-11-01,-4.371503,-4.678085,0.308243,-0.204494,-0.083943,-1.577749
2009-12-01,-3.431332,-4.367729,0.595818,-0.636387,-0.249459,-1.160097
2010-01-01,-2.86934,-4.269104,0.686044,-1.156225,-0.235525,-0.903953
2010-02-01,-2.297509,-4.09252,0.856936,-1.815745,0.144344,0.440222
2010-03-01,-1.55694,-4.293346,1.771761,-2.322329,0.540753,1.767272
2010-04-01,-1.14039,-3.955586,1.235714,-3.030572,1.632244,1.780961
2010-05-01,-0.880571,-4.034768,0.897997,-3.305674,1.090464,2.928845
2010-06-01,-1.203086,-4.004328,0.913966,-2.722735,0.429631,1.661422
2010-07-01,-1.385799,-4.214325,-0.150743,-2.458599,-0.154965,1.258958
2010-08-01,-1.928232,-3.952931,-0.644716,-1.474256,-1.009213,0.344123
2010-09-01,-2.131889,-3.960973,-0.445846,-0.838381,-1.214391,0.624861
2010-10-01,-2.110907,-3.927668,-0.447522,-0.755661,-0.928029,0.541582
2010-11-01,-1.82636,-3.990558,-0.102797,-1.282781,-0.381793,2.144272
2010-12-01,-2.129457,-4.319493,-0.560173,-1.428769,-0.197339,1.616128
2011-01-01,-2.109188,-4.607051,-0.412007,-1.607934,-0.288268,2.726272
2011-02-01,-2.234783,-4.891156,-0.040154,-1.11385,-0.412961,2.01382
2011-03-01,-2.091291,-4.771685,-0.67489,-1.492774,0.252466,2.287997
2011-04-01,-2.054713,-4.675424,-0.727176,-0.950135,-0.27738,2.216395
2011-05-01,-1.903006,-3.848551,-0.627682,-0.499392,-0.329132,1.447934
2011-06-01,-1.67215,-3.159037,-0.972335,-0.352926,-0.344208,0.810755
2011-07-01,-1.47765,-2.259255,-0.479825,-0.361138,-0.346259,0.639229
2011-08-01,-1.358598,-2.198164,-0.293109,-0.506543,-0.219853,0.67134
2011-09-01,-1.185268,-2.248798,-0.3664,-0.77151,-0.376299,0.7575
2011-10-01,-1.591538,-2.679557,-0.735844,-0.809055,-0.429121,0.521562
2011-11-01,-2.21086,-2.943816,-1.430039,-0.591005,-0.701873,-0.063061
2011-12-01,-2.785892,-3.165193,-1.189856,-0.144201,-1.175801,-0.001162
2012-01-01,-2.884973,-3.311753,-0.626192,0.163974,-1.200261,-0.233655
2012-02-01,-2.805117,-3.364416,-0.837864,-0.338311,-0.700863,-0.483855
2012-03-01,-2.856341,-3.096063,-0.890519,-0.647298,-0.746573,-0.301938
2012-04-01,-3.426491,-3.054372,-1.068056,-0.716919,-0.642908,-0.690545
2012-05-01,-3.86635,-3.303687,-1.2008,-0.725565,-0.698371,-0.590241
2012-06-01,-3.957634,-3.478095,-0.651354,-0.392057,-0.944713,-0.458432
2012-07-01,-3.854875,-3.661085,-0.690106,-0.479909,-0.897026,-0.75585
2012-08-01,-3.59012,-3.608886,-0.649332,-0.756746,-1.090304,-0.573061
2012-09-01,-4.135293,-4.309902,-1.154637,-0.731118,-0.741054,-0.702534
2012-10-01,-4.144508,-4.29836,-1.228788,-0.124985,-0.860671,-0.062766
2012-11-01,-4.343627,-4.583479,-0.866805,0.360387,-0.609086,-0.182515
2012-12-01,-4.125092,-4.279034,-1.032913,0.16093,-0.231026,-0.205642
2013-01-01,-4.224818,-4.372351,-0.963031,0.009182,-0.212919,-0.094707
2013-02-01,-4.228862,-4.363589,-0.78762,0.121391,-0.271669,-0.035572
2013-03-01,-4.108707,-4.4262,-1.029662,0.269855,-0.435078,-0.378013
2013-04-01,-3.684571,-4.281981,-0.446275,0.090012,-0.780258,0.339728
2013-05-01,-2.936471,-4.11736,0.12918,0.026893,-0.650882,0.006131
2013-06-01,-2.158547,-3.473642,-0.043797,-0.811967,-0.041846,0.077806
2013-07-01,-1.812484,-2.745328,-0.278479,-0.668235,-0.290893,-0.062567
2013-08-01,-1.588285,-2.187109,0.014523,-0.526862,-0.099668,-0.112199
2013-09-01,-1.180567,-1.756203,0.536929,-0.745418,-0.223356,-0.183808
2013-10-01,-0.726549,-1.563084,0.883862,-1.52181,-0.274941,-0.229181
2013-11-01,-0.331181,-1.37332,0.997902,-2.263698,-0.430684,-0.459081
2013-12-01,-0.029637,-1.140823,1.053711,-2.462792,-0.735302,-0.553748
2014-01-01,0.330018,-0.712254,1.100955,-2.525429,-0.88365,-0.673164
2014-02-01,0.526163,-0.412137,1.088278,-2.692248,-0.946094,-0.524355
2014-03-01,0.734792,0.033327,1.394608,-2.865507,-0.764841,-0.134667
2014-04-01,1.011832,0.084418,1.478845,-2.638279,-0.513411,-0.394322
2014-05-01,1.135385,0.526222,1.111063,-2.713478,-0.272386,-0.25396
2014-06-01,1.209775,0.895154,0.988372,-2.334112,-0.670996,-0.207429
2014-07-01,1.177922,1.006027,1.380139,-2.444761,-0.436027,0.010625
2014-08-01,1.377843,1.080665,1.307399,-2.439011,-0.548409,-0.096655
2014-09-01,1.542288,1.060272,1.334569,-2.53918,-0.606672,-0.013173
2014-10-01,1.595163,1.182122,1.241597,-2.475555,-0.687809,-0.360041
2014-11-01,1.654995,1.447871,1.229226,-2.663779,-0.587805,-0.029367
2014-12-01,1.787322,1.667629,1.366082,-2.533883,-0.520792,0.005326
2015-01-01,1.894255,2.024452,1.22215,-2.408386,-0.188343,0.082965
2015-02-01,2.013471,2.301415,1.182739,-2.150663,-0.335558,0.102168
2015-03-01,2.094768,2.23194,1.437212,-2.056578,-0.365283,0.128632
2015-04-01,2.300477,2.409974,1.37223,-2.265751,-0.236349,-0.004067
2015-05-01,2.485475,2.504012,1.304037,-2.200161,-0.319738,0.16856
2015-06-01,2.431723,2.600293,1.180934,-2.033665,-0.179454,0.018017
2015-07-01,2.555294,2.568921,1.165917,-1.725556,-0.294877,0.100116
2015-08-01,2.555441,2.570321,1.322646,-1.710248,-0.024029,0.019852
2015-09-01,2.655428,2.702581,1.033013,-1.704044,0.112508,-0.040311
2015-10-01,2.601491,2.735414,1.009678,-1.70085,0.179182,0.246
2015-11-01,2.548854,2.618885,1.017035,-1.303896,-0.030743,0.156077
2015-12-01,2.586329,2.618588,1.054752,-1.305063,0.105437,0.059178
2016-01-01,2.423302,2.571267,0.667302,-1.317274,0.160616,-0.462252
2016-02-01,2.272054,2.458198,0.557246,-1.056,-0.182332,-0.209465
2016-03-01,2.067353,2.281938,0.372255,-0.577151,-0.451445,-0.751276
2016-04-01,2.022638,2.273947,0.394903,-0.651974,-0.531393,-0.36955
2016-05-01,1.987141,2.310826,0.67088,-0.737295,-0.548368,-0.667273
2016-06-01,2.138359,2.347568,0.808459,-1.127756,-0.395918,-0.599314
2016-07-01,2.278523,2.624718,0.637627,-1.086346,-0.498883,-0.754693
2016-08-01,2.184811,2.731793,0.419143,-0.934187,-0.436097,-0.560665
2016-09-01,2.100444,2.64092,0.642465,-0.630257,-0.555749,-0.392547
2016-10-01,2.095386,2.396294,0.755102,-0.688328,-0.363091,-0.64014
2016-11-01,2.26684,2.608383,0.668516,-0.853593,-0.3258,-0.543595
2016-12-01,2.493455,2.878737,0.934269,-0.78811,-0.367902,-0.248083
2017-01-01,2.719279,2.91762,1.082178,-0.879652,-0.184016,-0.092224
2017-02-01,2.813717,2.959331,0.90812,-1.090792,-0.079876,0.070153
2017-03-01,2.703252,2.755607,1.089644,-1.26578,-0.001205,0.463663
2017-04-01,2.888405,2.839668,1.06067,-0.900509,0.211315,-0.080006
2017-05-01,2.979016,3.038345,0.696238,-0.736033,0.302359,0.09249
2017-06-01,3.127282,3.356087,0.719927,-0.160089,-0.030053,0.222219
2017-07-01,2.990003,3.227239,0.839814,-0.399346,0.57671,0.152544
2017-08-01,3.003875,3.363182,0.725646,-0.606444,0.700037,0.327185
2017-09-01,3.01546,3.445865,0.938287,-0.625099,0.654912,0.508663
2017-10-01,2.988544,3.570558,0.845937,-0.649751,0.581517,0.3204
2017-11-01,2.936589,3.323365,0.856314,-0.719197,0.511927,0.619686
2017-12-01,2.66383,3.082208,0.849237,-0.882503,0.580116,0.282958
2018-01-01,2.576995,2.890973,0.852684,-0.905287,0.432468,0.381413
2018-02-01,2.472774,2.925118,0.928574,-0.728584,0.402159,-0.046541
2018-03-01,2.603731,3.158474,0.667642,-0.552721,0.330917,-0.348769
2018-04-01,2.391398,3.280963,0.685427,-0.538022,0.132684,-0.15439
2018-05-01,2.373246,3.302706,0.882011,-0.459706,0.132333,-0.219092
2018-06-01,2.285465,3.153382,0.825012,-0.70274,0.501063,-0.377251
2018-07-01,2.257699,3.355552,0.551276,-0.517413,0.214241,-0.298982
2018-08-01,2.053493,3.353353,0.577058,-0.392637,-0.114746,-0.690131
2018-09-01,1.829927,3.092539,0.553529,-0.474219,-0.27289,-0.834467
2018-10-01,1.850129,2.870572,0.750362,-0.338033,-0.408066,-0.685427
2018-11-01,1.785155,2.69059,0.618318,-0.312308,-0.24148,-1.025117
2018-12-01,1.759547,2.518077,0.422648,-0.351919,-0.24732,-0.805166
2019-01-01,1.555025,2.291391,0.535596,-0.324911,-0.322564,-0.764298
2019-02-01,1.559681,2.187918,0.576713,-0.509363,-0.283486,-0.627566
2019-03-01,1.503644,2.061038,0.682045,-0.613247,-0.276659,-0.594728
2019-04-01,1.55729,2.0986,0.482813,-0.513237,-0.364065,-0.993244
2019-05-01,1.484461,2.164988,0.249582,-0.514312,-0.487551,-1.000403
2019-06-01,1.329804,2.273201,0.12677,-0.214104,-0.779741,-0.960337
2019-07-01,1.223165,2.18135,0.341095,-0.266733,-0.730368,-0.817693
2019-08-01,1.246981,2.100995,0.420309,-0.182171,-0.519997,-0.826082
2019-09-01,1.230032,2.133241,0.396733,-0.314606,-0.359585,-0.827078
2019-10-01,1.02943,1.971905,0.342085,-0.335947,-0.306127,-0.820467
2019-11-01,0.827956,1.64899,0.343875,-0.338817,-0.30537,-0.796376
2019-12-01,0.717389,1.499634,0.230245,-0.137242,-0.405953,-0.95938
2020-01-01,0.620234,1.457994,0.050361,-0.046093,-0.471757,-1.086503
2020-02-01,0.611344,1.339724,0.16563,0.087792,-0.515499,-0.927103
2020-03-01,-3.523795,2.968039,-4.929136,-2.000799,1.845665,-3.257217
2020-04-01,-16.829137,7.668247,-16.85356,-6.14779,3.475445,-4.649542
2020-05-01,-30.952327,10.6827,-10.494044,-2.450253,-4.956561,4.971523
2020-06-01,-35.019943,7.149135,7.347696,4.576838,-5.470031,1.009576
2020-07-01,-25.467163,2.382153,11.360816,2.632642,0.323662,-3.855385
2020-08-01,-16.798656,-0.17202,5.291947,-0.576791,1.198424,-4.138527
2020-09-01,-13.726975,0.066099,0.283413,-2.398797,-0.199518,-1.639406
2020-10-01,-14.173995,1.003591,0.350586,-2.501494,-0.281801,-0.320116
2020-11-01,-14.992608,1.935591,1.281434,-2.636736,0.691649,-0.139677
2020-12-01,-14.482704,2.273258,2.582048,-2.53022,0.563024,0.237552
2021-01-01,-14.712512,2.649724,1.877738,-2.907391,1.673336,-1.060598
2021-02-01,-15.043908,3.444827,1.004146,-3.121154,1.208259,-0.192271
2021-03-01,-11.50755,1.356932,7.923384,-0.218821,-1.306007,2.104866
2021-04-01,1.163227,-5.634692,19.263316,3.026041,-2.267052,3.770972
2021-05-01,15.560054,-11.087712,13.098024,-0.638734,4.825811,-4.615861
2021-06-01,21.281494,-9.332374,-2.882329,-7.381675,5.057941,-1.47587
2021-07-01,15.549853,-3.586299,-7.168654,-5.635291,-0.672252,1.853683
2021-08-01,9.754739,-0.052567,-2.641739,-2.967696,-2.145003,2.049595
2021-09-01,8.120054,0.03797,1.416265,-0.862396,-1.742046,0.279866
2021-10-01,9.641256,-0.814,1.281355,-0.213153,-2.026429,-1.088069
2021-11-01,11.66001,-1.293153,0.426456,0.333251,-2.89228,-0.926426
2021-12-01,11.82513,-1.294256,-1.3951,0.219214,-2.691055,-1.330098
2022-01-01,11.803291,-1.409281,-1.594597,0.1526,-3.465582,0.193937
2022-02-01,11.917589,-2.188448,-0.038398,0.822547,-3.672662,-0.037048
2022-03-01,12.546992,-2.045202,-1.597447,0.68268,-3.461735,-0.939128
2022-04-01,13.046646,-1.840393,-2.292748,1.601812,-4.428485,-0.292555
2022-05-01,12.342948,-1.249885,-2.444784,2.292225,-3.889376,-0.60956
2022-06-01,11.295115,-0.132828,-3.708567,2.242764,-3.302594,0.18643
2022-07-01,8.836412,0.781727,-3.454765,2.37032,-2.659353,0.358029
2022-08-01,6.642772,1.311709,-2.654458,3.062228,-2.173052,-0.13699
2022-09-01,5.167284,1.041665,-1.886244,3.355471,-1.832918,-0.724455
2022-10-01,4.153413,0.812336,-1.764039,3.288201,-1.589306,-0.940697
2022-11-01,3.363339,0.740267,-1.84525,3.110808,-1.562635,-1.060829
2022-12-01,2.873594,0.683944,-1.431541,3.410482,-1.53484,-1.143656
2023-01-01,3.323825,0.387169,-0.467199,4.0694,-1.852949,-1.218573
2023-02-01,3.505904,0.305184,-1.121085,3.774738,-0.934903,-1.9791
2023-03-01,3.704143,0.513521,-1.210722,3.247763,-0.777183,-0.591807
2023-04-01,2.973093,0.855737,-1.027852,3.191166,0.165404,-1.123627
2023-05-01,2.598871,1.338621,-1.523493,2.988645,0.33827,-0.904348
2023-06-01,1.954068,1.734229,-1.080393,3.545795,-0.09479,-1.516721
2023-07-01,1.856649,1.954385,-0.744468,3.735901,0.10392,-1.589172
2023-08-01,1.863068,2.107775,-0.787737,3.779892,0.359177,-1.741779
2023-09-01,1.863632,2.15418,-0.770507,3.760321,0.695657,-1.257481
2023-10-01,1.840479,2.01364,-0.592202,3.678662,0.835523,-1.078141
2023-11-01,1.980098,1.854567,-0.313792,3.137619,1.183667,-0.452104
2023-12-01,2.179885,1.713927,-0.191258,2.645885,1.218614,-0.236431
2024-01-01,2.345235,1.836311,-0.174336,2.098338,1.444341,0.123231
2024-02-01,2.383941,1.863969,-0.261425,2.120122,1.361511,0.147032
2024-03-01,2.238386,2.08717,-0.539041,2.008459,1.571221,-0.103063
2024-04-01,2.013027,1.933661,-0.320092,1.992333,1.188332,0.596978
2024-05-01,1.925886,1.822196,0.056207,1.890352,1.295815,0.387007
2024-06-01,2.169863,1.828708,0.086962,1.406523,1.632272,0.732929
2024-07-01,2.208705,2.038472,0.043483,1.391107,1.324567,0.648193
2024-08-01,2.465033,2.410017,0.403143,1.155772,1.410726,1.043849
2024-09-01,2.381121,2.175108,0.543534,0.80421,1.459017,0.817773
2024-10-01,2.51966,2.199491,0.574237,0.501575,1.635958,1.180716
2024-11-01,2.14146,2.047993,0.03315,0.544266,1.327081,0.224331
2024-12-01,2.088825,2.001599,0.112816,0.949199,0.639064,0.47212
2025-01-01,1.8990225533367084,1.895719074038436,0.6026903054312996,1.2647934602749977,0.5510016600617387,0.1383369018202666
2025-02-01,1.839039507072917,1.8581512148465495,0.3324446074580435,1.2666508757920056,0.5697064114732187,0.18453845135293712
2025-03-01,1.7697508117123388,1.792551093422683,0.21619111170443758,1.1637120640778233,0.47589936591956294,-0.015191222213904843
2025-04-01,1.7944842806488204,1.9184910766807808,0.02398880105481141,0.9543733995511796,0.5928142261130809,-0.48640056021100786
2025-05-01,1.7302451081884382,1.9525361350865678,0.4446299834135784,0.9671376704981891,-0.5005422834387513,0.013762875872508018
2025-06-01,1.5691364897356235,1.814104002056826,2.5337360858516074,1.4291003672469347,-0.6805018259259642,-0.10746787231109411
2025-07-01,1.494234615130041,1.6887632329741362,2.597556046149228,1.5221706249943652,-0.5558140960462464,-0.10981359218557996
2025-08-01,1.2776865179493275,1.6191706063914766,2.1183254377601686,1.568586367587118,-0.8069449909951202,-0.4783311419756061
2025-09-01,1.2167740900250008,1.7219768541498177,1.545148610604885,1.625518524836266,-0.972004357652224,-0.15460817692321382
2025-10-01,1.166497555682564,1.7236418910229536,1.4314901088776688,1.6973991719784427,-1.1688119299154938,-0.2738482125259182
2025-11-01,1.296838006727877,1.716267643964296,1.6849399047927114,1.7184663270171932,-1.144739703199913,-0.07123622094685322
2025-12-01,1.2374388240922283,1.6732628714256774,1.6679650891343136,1.6816766950623023,-0.6632056235959488,-0.14956155039946506
